payment_sequential,payment_type,payment_installments,payment_value
3,voucher,1,2.99
1,boleto,1,92.57
1,credit_card,2,68.35
1,credit_card,1,197.23
1,credit_card,3,153.67
1,credit_card,3,46.43
1,credit_card,4,102.03
1,credit_card,5,119.45
1,credit_card,1,44.23
1,credit_card,1,67.5
1,voucher,1,8.75
1,credit_card,2,44.27
1,credit_card,1,37.15
1,credit_card,2,114.13
1,credit_card,1,396.97
1,credit_card,1,185.85
1,credit_card,3,62.11
1,credit_card,2,25.23
1,credit_card,5,153.22
1,debit_card,1,145.01
1,boleto,1,70.89
1,credit_card,6,114.34
1,credit_card,2,31.38
1,credit_card,5,256.5
1,boleto,1,341.4
1,credit_card,1,143.99
1,voucher,1,84.88
1,credit_card,8,232.27
1,credit_card,5,194.0
1,credit_card,1,260.57
1,credit_card,1,49.59
1,credit_card,3,196.55
1,boleto,1,245.94
2,voucher,1,72.42
1,credit_card,2,217.15
1,credit_card,4,152.28
1,credit_card,3,72.34
1,credit_card,5,128.95
1,credit_card,1,56.85
1,credit_card,1,20.29
1,boleto,1,171.75
1,credit_card,1,85.82
1,boleto,1,56.05
1,boleto,1,26.09
1,credit_card,1,41.17
1,boleto,1,37.25
1,credit_card,5,135.13
1,credit_card,5,477.45
1,credit_card,2,440.12
1,credit_card,1,67.7
1,boleto,1,168.51
1,boleto,1,31.86
1,boleto,1,40.87
1,credit_card,1,109.59
1,credit_card,3,206.87
1,credit_card,1,134.38
1,credit_card,1,56.06
1,credit_card,3,264.08
1,credit_card,1,240.77
1,credit_card,2,91.72
1,credit_card,4,49.01
1,boleto,1,107.87
1,credit_card,3,62.01
1,credit_card,1,36.69
1,credit_card,3,35.0
1,credit_card,8,256.37
1,credit_card,1,47.84
1,credit_card,5,125.87
1,credit_card,1,42.39
1,credit_card,5,117.53
1,credit_card,1,43.28
1,credit_card,4,144.54
1,boleto,1,126.48
1,credit_card,4,125.29
1,credit_card,2,229.74
1,credit_card,1,124.6
1,boleto,1,143.86
1,voucher,1,56.89
1,boleto,1,46.78
1,voucher,1,3.98
1,credit_card,3,72.66
1,boleto,1,50.1
1,boleto,1,85.79
1,boleto,1,63.7
1,credit_card,1,100.0
1,credit_card,3,433.07
1,credit_card,1,642.02
1,credit_card,4,263.95
1,boleto,1,134.99
1,credit_card,1,57.89
1,credit_card,1,383.99
1,boleto,1,159.31
1,credit_card,1,100.0
1,credit_card,7,156.22
1,credit_card,1,132.95
1,boleto,1,48.27
1,credit_card,5,107.35
1,credit_card,1,110.2
1,credit_card,8,368.92
1,boleto,1,106.85
1,credit_card,8,281.5
1,credit_card,2,54.25
1,credit_card,5,121.78
1,credit_card,2,102.26
1,boleto,1,90.62
1,boleto,1,75.69
1,debit_card,1,42.86
1,credit_card,1,35.7
1,credit_card,1,444.25
1,credit_card,1,69.16
2,voucher,1,30.0
1,credit_card,2,65.71
1,credit_card,1,29.29
1,credit_card,1,37.74
2,voucher,1,30.0
1,credit_card,2,145.9
1,credit_card,1,79.88
1,credit_card,5,108.0
1,credit_card,6,348.74
1,credit_card,6,88.78
1,credit_card,4,100.0
1,credit_card,6,125.77
1,credit_card,3,64.05
1,boleto,1,127.69
1,credit_card,1,62.42
1,credit_card,5,55.69
1,credit_card,7,146.13
1,credit_card,5,349.99
1,credit_card,1,91.28
1,boleto,1,108.64
1,credit_card,2,158.98
1,credit_card,1,20.75
1,boleto,1,72.9
1,credit_card,3,543.83
1,credit_card,2,67.12
1,credit_card,6,139.07
1,boleto,1,126.68
1,credit_card,1,41.42
1,boleto,1,203.16
1,credit_card,8,540.02
1,boleto,1,368.6
1,credit_card,4,107.78
1,credit_card,1,387.27
1,credit_card,1,107.23
1,credit_card,2,101.25
1,credit_card,1,26.09
1,boleto,1,244.35
1,credit_card,1,117.85
1,credit_card,3,171.32
1,credit_card,1,202.44
1,boleto,1,73.03
1,credit_card,4,264.67
1,credit_card,1,68.7
1,boleto,1,55.13
1,credit_card,2,92.99
1,credit_card,3,36.0
1,credit_card,1,17.87
1,credit_card,1,58.38
2,voucher,1,50.0
1,credit_card,1,100.0
1,credit_card,3,130.14
1,boleto,1,710.23
1,credit_card,1,68.0
1,credit_card,5,59.51
1,credit_card,5,371.94
1,credit_card,1,667.99
1,credit_card,1,63.89
1,credit_card,4,49.34
1,boleto,1,147.0
1,credit_card,1,354.64
1,credit_card,4,59.71
1,credit_card,8,408.66
1,credit_card,5,51.66
1,credit_card,2,386.46
1,credit_card,2,69.54
1,credit_card,1,21.94
1,credit_card,1,52.34
1,credit_card,1,114.25
1,credit_card,2,162.83
1,credit_card,1,172.92
1,credit_card,7,81.72
1,credit_card,2,151.79
1,credit_card,4,243.62
1,boleto,1,56.42
1,credit_card,4,45.13
1,boleto,1,108.64
1,credit_card,4,64.51
1,credit_card,8,193.5
1,boleto,1,110.63
1,credit_card,5,200.55
1,credit_card,1,41.71
1,credit_card,1,54.43
1,credit_card,3,77.64
1,boleto,1,280.08
1,credit_card,5,101.34
1,credit_card,1,77.57
1,credit_card,4,60.2
1,boleto,1,48.1
1,boleto,1,76.02
1,credit_card,2,84.56
2,voucher,1,20.0
1,credit_card,4,48.16
1,debit_card,1,265.41
1,credit_card,5,127.53
1,credit_card,2,128.73
1,credit_card,3,37.37
1,credit_card,5,150.15
1,credit_card,2,36.16
1,credit_card,4,198.0
1,credit_card,5,112.4
1,credit_card,1,35.4
1,credit_card,6,189.98
1,credit_card,2,228.6
1,credit_card,8,314.21
1,credit_card,1,22.29
1,credit_card,8,257.3
1,credit_card,6,162.99
1,boleto,1,51.03
1,credit_card,1,190.09
1,credit_card,7,374.24
1,credit_card,5,53.15
1,credit_card,2,88.2
2,voucher,1,25.9
1,credit_card,1,46.81
1,boleto,1,131.47
1,credit_card,3,258.71
1,credit_card,1,84.23
1,credit_card,1,156.73
1,boleto,1,69.9
1,boleto,1,48.13
1,credit_card,6,187.15
1,credit_card,3,69.99
2,voucher,1,25.0
1,credit_card,2,162.1
1,credit_card,1,57.11
1,credit_card,1,154.87
1,credit_card,4,236.81
1,credit_card,1,102.53
1,credit_card,3,65.1
1,boleto,1,93.64
1,boleto,1,64.09
1,credit_card,5,279.4
1,credit_card,5,205.43
1,credit_card,4,89.57
1,boleto,1,75.07
1,credit_card,4,63.23
1,credit_card,1,0.52
1,credit_card,1,231.27
1,boleto,1,41.69
1,credit_card,4,69.41
1,credit_card,1,72.75
1,credit_card,2,24.29
1,credit_card,5,88.49
1,credit_card,7,71.66
1,credit_card,2,80.81
1,credit_card,2,132.82
1,credit_card,7,394.07
1,credit_card,2,165.5
1,credit_card,2,98.47
1,credit_card,2,49.77
1,credit_card,8,180.91
1,credit_card,4,40.63
1,debit_card,1,71.63
1,credit_card,5,262.94
1,credit_card,3,62.22
1,credit_card,5,311.57
1,debit_card,1,93.22
1,boleto,1,100.21
1,credit_card,4,125.43
1,boleto,1,80.55
1,credit_card,2,373.44
1,credit_card,3,62.31
1,debit_card,1,36.35
1,credit_card,2,29.38
1,credit_card,1,102.47
1,credit_card,3,130.0
1,credit_card,5,69.13
1,credit_card,1,86.24
1,credit_card,1,74.29
1,credit_card,7,70.72
1,credit_card,3,199.0
1,credit_card,3,340.47
1,credit_card,4,48.74
1,credit_card,2,28.08
1,voucher,1,59.9
1,credit_card,1,166.29
1,boleto,1,51.1
1,credit_card,1,67.83
1,credit_card,3,164.35
1,boleto,1,79.09
1,boleto,1,93.69
1,credit_card,2,59.82
1,credit_card,3,159.03
1,credit_card,9,92.57
1,credit_card,4,42.77
1,credit_card,8,453.74
1,credit_card,3,234.08
1,credit_card,2,67.62
1,credit_card,1,19.33
1,credit_card,3,143.18
1,credit_card,4,112.83
1,boleto,1,85.92
1,credit_card,4,102.05
1,credit_card,3,134.12
1,credit_card,1,112.13
1,credit_card,1,70.75
1,credit_card,7,77.6
1,credit_card,1,197.04
1,credit_card,1,93.18
1,boleto,1,44.72
1,credit_card,1,26.38
1,debit_card,1,149.14
1,credit_card,4,106.32
1,credit_card,8,246.96
1,credit_card,1,22.29
1,credit_card,3,57.48
1,credit_card,4,105.28
1,credit_card,8,203.54
1,credit_card,2,330.4
1,boleto,1,108.68
1,boleto,1,415.93
1,credit_card,1,314.21
1,credit_card,1,206.08
1,credit_card,1,27.7
1,boleto,1,19.48
1,credit_card,2,121.09
1,credit_card,1,206.76
1,credit_card,1,142.21
1,boleto,1,73.34
1,credit_card,1,72.62
1,credit_card,1,86.24
1,boleto,1,230.1
1,boleto,1,206.14
1,boleto,1,212.73
1,credit_card,1,94.82
1,boleto,1,126.44
2,voucher,1,140.08
1,credit_card,1,68.87
1,credit_card,2,87.58
1,credit_card,1,305.19
1,credit_card,5,161.88
1,debit_card,1,88.08
1,credit_card,3,92.5
1,credit_card,1,43.0
1,credit_card,2,116.36
1,boleto,1,64.48
1,boleto,1,37.69
1,credit_card,2,150.52
1,credit_card,6,314.3
1,credit_card,8,396.35
2,debit_card,1,98.33
1,credit_card,1,120.92
1,credit_card,1,76.17
1,credit_card,1,104.43
1,credit_card,1,105.94
1,credit_card,3,110.04
1,boleto,1,730.95
1,credit_card,4,128.77
1,credit_card,8,82.1
1,boleto,1,53.39
1,credit_card,3,61.79
1,boleto,1,86.83
1,credit_card,1,45.3
1,credit_card,1,25.5
2,voucher,1,103.79
1,credit_card,6,114.28
1,credit_card,2,57.78
1,credit_card,1,124.15
1,credit_card,3,64.1
1,credit_card,1,179.92
1,boleto,1,40.01
1,credit_card,5,104.27
1,credit_card,8,307.96
1,credit_card,2,31.29
1,credit_card,1,38.13
1,voucher,1,52.01
1,credit_card,1,35.05
1,credit_card,8,186.49
1,credit_card,4,99.95
1,credit_card,4,215.62
1,credit_card,3,206.2
1,boleto,1,55.06
1,credit_card,1,21.04
1,credit_card,1,26.45
1,credit_card,1,127.53
1,credit_card,1,223.14
1,credit_card,2,56.41
1,boleto,1,566.63
1,credit_card,2,39.41
1,credit_card,6,148.64
1,credit_card,4,64.0
1,credit_card,3,151.09
1,boleto,1,93.91
1,credit_card,2,71.14
1,credit_card,3,188.06
1,credit_card,2,257.21
1,credit_card,4,692.94
1,credit_card,8,181.1
1,boleto,1,202.26
1,credit_card,3,164.15
1,credit_card,1,137.13
1,credit_card,1,2.01
1,boleto,1,272.58
1,credit_card,4,87.36
1,voucher,1,16.54
1,credit_card,4,234.19
1,boleto,1,86.37
1,boleto,1,33.0
1,credit_card,1,10.89
1,credit_card,4,84.14
1,boleto,1,43.28
1,credit_card,1,47.95
1,boleto,1,76.08
1,boleto,1,104.37
1,credit_card,1,69.61
1,credit_card,3,121.09
1,credit_card,7,238.65
1,credit_card,4,181.59
1,credit_card,2,135.26
1,credit_card,3,51.09
1,credit_card,3,100.0
1,credit_card,3,145.01
1,credit_card,1,231.27
1,boleto,1,70.03
1,credit_card,1,100.0
1,voucher,1,45.24
2,voucher,1,50.0
1,credit_card,1,64.01
1,credit_card,6,148.18
1,credit_card,1,171.53
1,credit_card,3,86.15
1,debit_card,1,22.79
1,credit_card,2,58.16
1,boleto,1,149.42
1,credit_card,1,44.53
1,credit_card,2,152.82
1,credit_card,8,82.92
1,boleto,1,66.69
1,boleto,1,52.75
1,credit_card,5,105.94
1,credit_card,8,413.31
1,credit_card,3,112.09
1,credit_card,4,186.36
1,credit_card,3,165.22
1,credit_card,3,49.02
1,debit_card,1,173.68
1,credit_card,2,205.07
1,credit_card,1,21.04
1,credit_card,2,132.68
1,credit_card,1,36.09
1,boleto,1,66.44
1,boleto,1,161.62
1,credit_card,1,27.75
1,credit_card,1,91.28
2,voucher,1,81.93
1,credit_card,2,167.92
1,credit_card,1,61.36
1,credit_card,2,60.0
1,credit_card,3,39.01
1,credit_card,3,39.78
1,credit_card,2,64.23
1,credit_card,4,186.92
1,credit_card,2,43.29
1,credit_card,1,59.13
1,credit_card,3,33.51
1,debit_card,1,33.1
1,voucher,1,148.06
1,credit_card,2,189.56
1,credit_card,5,105.38
1,boleto,1,69.06
1,voucher,1,85.24
1,credit_card,5,179.46
1,credit_card,1,168.35
2,voucher,1,100.0
1,credit_card,1,77.89
1,credit_card,1,99.43
1,credit_card,1,407.9
3,voucher,1,15.0
1,credit_card,2,424.04
1,credit_card,3,157.2
1,credit_card,4,162.03
1,credit_card,8,188.5
1,credit_card,1,65.47
1,credit_card,1,39.42
1,credit_card,5,365.32
1,credit_card,6,65.11
1,credit_card,1,188.34
1,boleto,1,35.4
1,credit_card,1,590.72
1,boleto,1,36.75
1,credit_card,2,81.73
1,credit_card,1,17.86
1,boleto,1,108.97
1,credit_card,1,569.66
1,credit_card,4,48.13
1,credit_card,2,63.1
1,boleto,1,39.42
1,boleto,1,74.03
1,boleto,1,66.78
1,credit_card,1,36.59
1,credit_card,5,272.64
1,credit_card,1,64.34
1,boleto,1,49.05
1,credit_card,7,163.69
1,credit_card,6,443.85
1,credit_card,6,165.31
1,credit_card,1,100.0
1,credit_card,1,706.84
2,voucher,1,20.0
1,credit_card,1,135.97
1,credit_card,1,56.99
1,credit_card,1,43.58
1,credit_card,4,48.15
1,credit_card,1,76.87
1,credit_card,1,2.78
1,credit_card,2,123.59
1,boleto,1,128.07
1,credit_card,2,185.84
1,credit_card,1,85.81
1,credit_card,1,149.54
1,credit_card,1,32.38
1,credit_card,1,23.38
1,credit_card,1,98.86
1,credit_card,8,124.21
1,credit_card,6,191.58
1,credit_card,2,123.04
1,credit_card,1,26.38
1,credit_card,2,71.49
1,credit_card,1,153.98
1,credit_card,1,55.91
1,credit_card,6,86.06
1,credit_card,1,33.1
1,credit_card,1,360.29
1,credit_card,1,105.24
1,credit_card,3,114.85
2,voucher,1,0.01
1,credit_card,1,65.57
1,credit_card,3,88.9
1,credit_card,1,76.78
1,credit_card,1,680.96
1,voucher,1,27.91
1,credit_card,2,61.79
1,credit_card,1,40.96
1,credit_card,2,149.0
1,credit_card,7,75.7
1,credit_card,4,356.9
1,credit_card,2,165.96
1,credit_card,2,61.19
1,credit_card,1,43.37
1,credit_card,2,40.86
1,credit_card,1,84.81
1,voucher,1,8.24
1,credit_card,3,191.93
1,credit_card,1,32.72
1,boleto,1,32.77
1,credit_card,5,50.5
1,credit_card,3,37.05
1,credit_card,1,70.36
1,credit_card,1,38.0
1,boleto,1,196.81
1,boleto,1,46.84
1,credit_card,1,367.2
1,credit_card,4,195.36
1,credit_card,7,144.8
1,boleto,1,28.62
1,boleto,1,160.74
2,voucher,1,103.59
1,credit_card,1,10.39
1,credit_card,1,31.75
1,credit_card,5,116.23
1,credit_card,4,40.43
1,boleto,1,66.64
1,voucher,1,17.01
1,boleto,1,189.96
1,boleto,1,170.37
1,credit_card,2,50.9
1,credit_card,1,133.64
1,boleto,1,543.29
1,credit_card,2,42.75
1,credit_card,2,161.01
1,boleto,1,72.83
1,boleto,1,100.0
1,boleto,1,130.6
1,credit_card,1,69.67
1,credit_card,2,70.97
1,credit_card,1,255.76
1,credit_card,4,75.4
1,credit_card,3,109.93
1,credit_card,1,71.14
1,credit_card,3,113.33
1,credit_card,1,292.86
1,credit_card,2,129.15
1,credit_card,7,177.67
1,credit_card,1,27.48
1,credit_card,1,140.94
1,boleto,1,23.0
1,credit_card,1,49.09
1,credit_card,1,84.79
1,boleto,1,111.02
1,credit_card,1,42.44
1,credit_card,1,210.56
1,credit_card,4,42.74
1,boleto,1,50.1
1,credit_card,1,67.23
1,credit_card,4,46.66
1,credit_card,1,201.05
1,credit_card,4,81.47
1,boleto,1,79.69
1,credit_card,4,45.12
1,boleto,1,250.04
1,credit_card,7,108.88
1,credit_card,1,189.66
1,credit_card,3,135.47
1,boleto,1,104.07
1,credit_card,3,184.08
1,boleto,1,164.01
1,credit_card,3,91.21
1,credit_card,7,129.0
1,credit_card,2,84.28
1,credit_card,1,57.67
1,credit_card,3,97.79
1,debit_card,1,53.9
1,boleto,1,35.09
1,boleto,1,218.04
1,boleto,1,67.93
1,boleto,1,40.53
1,credit_card,6,97.23
1,credit_card,6,159.39
1,boleto,1,167.07
2,voucher,1,50.0
1,credit_card,2,93.4
1,credit_card,4,276.11
1,credit_card,3,149.16
1,credit_card,2,175.13
1,credit_card,1,143.99
1,boleto,1,131.8
1,boleto,1,88.54
1,credit_card,1,109.31
1,boleto,1,63.05
1,credit_card,8,353.29
1,credit_card,3,276.44
1,boleto,1,45.95
1,credit_card,2,116.99
1,boleto,1,46.0
2,voucher,1,23.23
1,credit_card,1,119.18
1,boleto,1,32.13
1,credit_card,5,222.15
1,boleto,1,59.22
1,boleto,1,204.81
1,credit_card,2,73.34
1,credit_card,1,131.03
1,credit_card,3,57.69
1,credit_card,1,27.79
1,boleto,1,224.45
1,credit_card,1,135.6
1,credit_card,7,76.08
1,credit_card,1,67.14
1,boleto,1,137.97
1,boleto,1,68.12
1,credit_card,3,73.61
1,credit_card,3,117.94
1,credit_card,3,84.52
1,credit_card,8,138.84
1,credit_card,1,5.37
1,credit_card,4,119.48
1,credit_card,1,77.5
1,boleto,1,84.05
1,boleto,1,149.73
1,boleto,1,93.8
1,credit_card,2,76.51
1,boleto,1,121.6
1,credit_card,1,528.69
1,boleto,1,73.03
2,credit_card,2,70.0
1,credit_card,5,278.63
1,credit_card,2,89.88
1,boleto,1,117.38
1,credit_card,3,180.47
1,credit_card,2,110.77
1,credit_card,2,28.7
1,credit_card,1,23.47
2,voucher,1,50.0
1,boleto,1,364.46
1,credit_card,1,48.23
1,credit_card,6,78.97
1,credit_card,2,159.8
1,credit_card,1,66.44
1,credit_card,2,71.13
1,credit_card,1,76.29
2,voucher,1,188.93
1,debit_card,1,70.03
1,boleto,1,51.01
1,credit_card,2,162.75
1,boleto,1,36.36
1,credit_card,4,209.46
1,credit_card,2,79.95
1,credit_card,1,134.49
1,credit_card,6,111.02
1,credit_card,1,53.88
1,boleto,1,62.91
1,debit_card,1,335.47
3,voucher,1,12.29
1,credit_card,8,237.54
1,credit_card,1,131.94
1,debit_card,1,191.28
1,credit_card,6,85.24
1,credit_card,1,37.99
1,credit_card,1,200.75
1,boleto,1,213.03
1,boleto,1,74.16
1,voucher,1,55.09
1,voucher,1,10.04
1,credit_card,1,57.8
1,credit_card,1,25.05
1,boleto,1,199.43
1,credit_card,3,172.29
1,credit_card,8,126.3
1,credit_card,5,116.97
1,credit_card,2,158.21
2,voucher,1,247.16
1,credit_card,4,45.09
1,credit_card,5,172.16
1,credit_card,2,189.37
1,credit_card,3,372.67
1,boleto,1,64.44
1,credit_card,1,2.35
1,credit_card,4,204.07
1,boleto,1,75.17
1,credit_card,2,177.11
1,credit_card,2,42.78
1,boleto,1,37.79
1,credit_card,2,119.79
1,boleto,1,273.98
1,credit_card,2,63.7
2,voucher,1,50.0
1,boleto,1,36.05
1,credit_card,1,85.15
1,credit_card,1,50.45
1,credit_card,1,34.37
1,voucher,1,184.93
1,credit_card,6,157.97
1,boleto,1,143.15
1,credit_card,8,123.25
1,credit_card,6,121.68
1,credit_card,1,156.39
1,credit_card,3,171.79
1,credit_card,2,133.05
1,debit_card,1,77.42
1,credit_card,2,281.73
1,credit_card,1,36.07
1,credit_card,4,441.16
1,credit_card,1,99.14
1,voucher,1,118.35
1,credit_card,1,92.8
1,credit_card,2,142.25
1,boleto,1,186.27
1,debit_card,1,23.88
1,boleto,1,497.59
1,credit_card,5,51.57
1,credit_card,1,159.07
1,credit_card,2,154.38
1,credit_card,3,245.36
1,boleto,1,385.52
1,credit_card,4,318.17
1,credit_card,1,576.2
1,credit_card,1,93.66
1,boleto,1,71.81
1,boleto,1,33.1
2,voucher,1,3.9
1,boleto,1,44.24
1,boleto,1,398.88
1,credit_card,2,47.61
1,credit_card,1,116.85
1,boleto,1,35.09
1,credit_card,5,51.88
1,credit_card,6,190.83
1,credit_card,4,101.64
1,credit_card,4,212.18
1,boleto,1,61.94
1,credit_card,1,35.24
1,credit_card,6,63.06
1,credit_card,2,102.64
1,credit_card,1,123.68
1,boleto,1,64.63
1,boleto,1,216.74
1,credit_card,1,46.26
1,credit_card,2,52.83
1,credit_card,2,129.79
1,credit_card,1,8.16
2,voucher,1,98.87
1,credit_card,2,65.05
1,debit_card,1,64.0
1,credit_card,1,34.7
1,credit_card,3,151.83
1,credit_card,2,103.2
1,credit_card,1,43.62
1,credit_card,6,166.41
1,credit_card,1,35.77
1,credit_card,1,194.48
1,credit_card,1,133.62
1,credit_card,2,115.9
1,boleto,1,91.92
1,credit_card,1,36.61
1,credit_card,3,72.78
1,credit_card,1,189.21
1,credit_card,7,346.59
1,credit_card,5,245.51
2,voucher,1,216.99
1,credit_card,3,104.43
1,credit_card,3,36.1
1,credit_card,2,161.47
1,credit_card,6,133.75
1,credit_card,1,125.22
1,boleto,1,50.86
1,credit_card,2,164.84
1,credit_card,1,2.67
3,voucher,1,33.56
1,boleto,1,99.9
