seller_zip_code_prefix,seller_city,seller_state
21820,rio de janeiro,RJ
1026,sao paulo,SP
3308,sao paulo,SP
95070,caxias do sul,RS
9640,sao bernardo do campo,SP
58400,campina grande,PB
93608,estancia velha,RS
27525,resende,RJ
89251,jaragua do sul,SC
2215,sao paulo,SP
5524,sao paulo,SP
22790,rio de janeiro,RJ
8041,sao paulo,SP
5715,sao paulo,SP
88032,florianopolis,SC
18055,sorocaba,SP
2112,sao paulo,SP
14075,ribeirao preto,SP
18048,sorocaba,SP
9336,maua,SP
17030,bauru,SP
17052,bauru,SP
30620,belo horizonte,MG
13327,salto,SP
74343,goiania,GO
35300,caratinga,MG
15350,auriflama/sp,SP
21240,rio de janeiro,RJ
14407,franca,SP
16500,cafelandia,SP
2518,sao paulo,SP
14050,ribeirao preto,SP
88730,sao ludgero,SC
36502,uba,MG
9751,sao bernardo do campo,SP
3407,sao paulo,SP
14940,ibitinga,SP
87035,maringa,PR
15062,sao jose do rio preto,SP
13064,campinas,SP
21020,rio de janeiro,RJ
13660,porto ferreira,SP
95660,tres coroas,RS
9080,santo andre,SP
89031,blumenau,SC
9110,santo andre,SP
9230,santo andre,SP
3951,sao paulo,SP
3172,sao paulo,SP
3334,sao paulo,SP
89070,blumenau,SC
8773,mogi das cruzes,SP
11013,santos,SP
6286,osasco,SP
15155,jaci,SP
35530,claudio,MG
74045,goiania,GO
18500,laranjal paulista,SP
18048,sorocaba,SP
1126,sao paulo,SP
13478,americana,SP
1303,sao paulo,SP
2739,sao paulo,SP
20921,rio de janeiro,RJ
86170,sertanopolis,SP
14940,ibitinga,SP
86808,apucarana,PR
15046,sao jose do rio preto,SP
22230,rio de janeiro,RJ
87035,maringa,PR
4102,sao paulo,SP
7052,guarulhos,SP
16301,penapolis,SP
24020,niteroi,RJ
89204,joinville,SC
83408,colombo,PR
11450,vicente de carvalho,SP
26562,mesquita,RJ
86010,londrina,PR
2051,sao pauo,SP
88056,florianopolis,SC
30550,belo horizonte,MG
2820,sao paulo,SP
85802,cascavel,PR
83830,fazenda rio grande,PR
4508,sao paulo,SP
6775,taboao da serra,SP
1550,sao paulo,SP
22783,rio de janeiro,RJ
81070,curitiba,PR
4716,sao paulo,SP
12233,sao jose dos campos,SP
7084,guarulhos,SP
3384,sao paulo,SP
85903,toledo,PR
82510,curitiba,PR
15081,sao jose do rio preto,SP
8411,sao paulo,SP
17047,bauru,SP
11045,santos,SP
85960,marechal candido rondon,SP
80010,curitiba,PR
8710,mogi das cruzes,SP
91130,porto alegre,RS
12238,sao jose dos campos,SP
6236,osasco,SP
13203,jundiai,SP
83800,mandirituba,PR
3551,sao paulo,SP
8655,suzano,SP
33200,vespasiano,MG
80040,curitiba,PR
20735,rio de janeiro,RJ
89031,blumenau,SC
1417,sao paulo,SP
98780,santa rosa,RS
15015,sao jose do rio preto,SP
14600,sao joaquim da barra,SP
5125,sao paulo,SP
81050,curitiba,PR
13830,santo antonio de posse,SP
1212,sao paulo,SP
97502,uruguaiana,RS
80215,curitiba,PR
6703,cotia,SP
13480,limeira,SP
37400,campanha,MG
14940,ibitinga,SP
4811,sao paulo,SP
75640,piracanjuba,GO
3306,sao paulo,SP
95034,caxias do sul,RS
30640,belo horizonte,MG
89701,concordia,SC
2880,sao paulo,SP
3688,sao paulo,SP
74043,goiania,GO
37540,santa rita do sapucai,MG
81925,curitiba,PR
6246,osasco,SP
80510,curitiba,PR
80240,curitiba,PR
14780,barretos,SP
13330,indaiatuba,SP
26525,nilopolis,RJ
9380,maua,SP
17580,pompeia,SP
44895,barro alto,BA
13840,mogi guacu,SP
4557,são paulo,SP
4311,sao paulo,SP
11702,praia grande,SP
14406,franca,SP
22783,rio de janeiro,SP
89128,luiz alves,SC
2036,sao paulo,SP
6038,osasco,SP
88351,brusque,SC
88804,criciuma,SC
5729,sao paulo,SP
6519,santana de parnaiba,SP
6016,osasco,SP
89222,joinville,SC
2252,sao paulo,SP
7179,guarulhos,SP
31050,belo horizonte,MG
13480,limeira,SP
15805,catanduva,SP
89052,blumenau,SC
31255,belo horizonte,MG
15704,jales,SP
20270,rio de janeiro,RJ
86060,londrina,PR
12944,atibaia,SP
69900,rio branco,AC
86046,londrina,PR
27321,barra mansa,RJ
5632,sao paulo,SP
3161,sao paulo,SP
4782,sao paulo,SP
14403,franca,SP
87013,maringa,PR
9405,ribeirao pires,SP
2310,sao paulo,SP
4363,sao paulo,SP
1539,sao paulo,SP
13560,sao carlos,SP
2238,sao paulo,SP
15055,sao jose do rio preto,SP
82220,curitiba,PR
17520,marilia,SP
3060,sao paulo,SP
9443,ribeirao pires,SP
14096,ribeirao preto,SP
48602,bahia,BA
91740,porto alegre,RS
86047,londrina,PR
85807,cascavel,PR
12020,taubate,SP
85802,cascavael,PR
1320,sao paulo,SP
12250,monteiro lobato,SP
81250,curitiba,PR
29138,viana,ES
7145,guarulhos,SP
88107,sao jose,SC
25850,paraiba do sul,RJ
13730,mococa,SP
18130,sao roque,SP
37900,passos,MG
14940,ibitinga,SP
85603,francisco beltrao,PR
3821,sao paulo,SP
36512,tocantins,SP
76400,uruacu,GO
87083,maringa,PR
74473,goiania,GO
21931,rio de janeiro,RJ
14055,ribeirao preto,SP
88210,porto belo,SC
13105,campinas,SP
26255,nova iguacu,RJ
3343,sao paulo,SP
17512,marilia,SP
88820,icara,SC
3543,sao paulo,SP
95910,lajeado,RS
3694,sao paulo,SP
3029,sao paulo,SP
37540,santa rita do sapucai,MG
13042,campinas,SP
1201,sao paulo,SP
9230,santo andre,SP
88359,brusque,SC
98920,horizontina,RS
4364,sao paulo,SP
3416,sao paulo,SP
9350,maua,SP
1214,sao paulo,SP
2880,sao paulo,SP
9220,santo andre,SP
18110,votorantim,SP
35530,claudio,MG
93700,campo bom,RS
3659,sao paulo,SP
1123,sao paulo,SP
15910,monte alto,SP
3103,sao paulo,SP
14078,ribeirao preto,SP
15601,fernandopolis,SP
89041,blumenau,SC
17500,marilia,SP
84010,ponta grossa,PR
7093,guarulhos,SP
31560,belo horizonte,MG
13920,pedreira,SP
86800,apucarana,PR
7062,guarulhos,SP
88351,brusque,SC
8550,poa,SP
3471,sao paulo,SP
87047,maringa,PR
82040,curitiba,PR
15025,sao jose do rio preto,SP
35500,divinopolis,MG
13450,santa barbara d´oeste,SP
92025,canoas,RS
13310,itu,SP
89217,joinville,SC
13375,mombuca,SP
9628,sao bernardo do campo,SP
6539,santana de parnaiba,SP
81350,curitiba,PR
86040,londrina,PR
14405,franca,SP
35700,sete lagoas,MG
37165,campo do meio,MG
85904,toledo,PR
8780,mogi das cruzes,SP
13219,jundiai,SP
17509,marilia,SP
60741,fortaleza,CE
3311,sao paulo,SP
13490,cordeiropolis,SP
38410,uberlandia,MG
75123,anapolis,GO
14092,ribeirao preto,SP
15085,sao jose do rio preto,SP
4578,sao paulo,SP
91310,porto alegre,RS
20756,rio de janeiro,RJ
1233,sao paulo,SP
8223,sao paulo,SP
4782,sao paulo,SP
83402,colombo,PR
9920,diadema,SP
13419,piracicaba,SP
20021,rio de janeiro,RJ
18072,sorocaba,SP
13456,santa barbara d oeste,SP
13920,pedreira,SP
86702,arapongas,PR
27277,volta redonda,SP
13660,porto ferreira,SP
89030,blumenau,SC
6787,taboao da serra,SP
22790,04482255,RJ
16072,aracatuba,SP
81830,curitiba,PR
74210,goiania,GO
16200,birigui,SP
18070,sorocaba,SP
37580,monte siao,MG
13073,campinas,SP
89248,garuva,SC
38650,bonfinopolis de minas,MG
13150,cosmopolis,SP
14092,ribeirao preto,SP
15800,catanduva,SP
1215,sao paulo,SP
24451,sao goncalo,RJ
4386,sao paulo,SP
5547,sao paulo,SP
21070,rio de janeiro,RJ
37706,pocos de caldas,MG
24725,sao goncalo,RJ
13160,artur nogueira,SP
11015,santos,SP
4209,sao paulo,SP
30575,belo horizonte,MG
6513,santana de parnaiba,SP
20520,rio de janeiro,RJ
58030,joao pessoa,PB
17300,dois corregos,SP
89245,araquari,SC
1220,sao paulo,SP
90230,porto alegre,RS
83075,sao jose dos pinhais,PR
31570,belo horizonte,SP
36500,uba,MG
93310,"novo hamburgo, rio grande do sul, brasil",RS
84035,ponta grossa,PR
80330,curitiba,PR
89218,joinville,SC
88056,floranopolis,SC
15155,jaci,SP
13170,sumare,SP
83070,sao jose dos pinhais,PR
9350,maua,SP
85980,guaira,PR
2118,sao paulo,SP
12242,sao jose dos campos,SP
29313,cachoeiro de itapemirim,ES
14150,serrana,SP
5108,sao paulo,SP
86604,rolandia,PR
4360,sao paulo,SP
23062,rio de janeiro,RJ
3029,sao paulo,SP
4054,sao paulo,SP
36415,congonhas,MG
15046,sao jose do rio preto,SP
5537,sao paulo,SP
12943,atibaia,SP
6852,itapecerica da serra,SP
83091,sao jose dos pinhais,PR
18035,sorocaba,SP
18550,boituva,SP
13405,piracicaba,SP
3275,sao paulo,SP
14400,franca,SP
88495,garopaba,SC
90010,porto alegre,RS
17604,tupa,SP
3612,sao paulo,SP
5268,sao paulo,SP
13660,porto ferreira,SP
3059,sao paulo,SP
7600,mairipora,SP
1547,sao paulo,SP
13041,campinas,SP
16480,guaimbe,SP
95360,parai,RS
17700,osvaldo cruz,SP
9862,sao bernardo do campo,SP
37706,pocos de caldas,MG
28495,aperibe,RJ
35500,divinopolis,MG
1021,sao paulo,SP
17605,tupa,SP
80610,curitiba,PR
18053,sorocaba,SP
88715,jaguaruna,SC
86707,arapongas,PR
26210,nova iguacu,RJ
8250,sao paulo,SP
29101,vila velha,SP
14801,araraquara,SP
9182,santo andre,SP
89210,joinville,SC
13085,campinas,SP
21070,rio de janeiro,RJ
7194,guarulhos,SP
36052,juiz de fora,MG
23080,rio de janeiro,RJ
38230,fronteira,MG
14960,novo horizonte,SP
18185,pilar do sul,SP
15840,itajobi,SP
87050,maringa,PR
4815,sao paulo,SP
29142,cariacica / es,ES
36320,prados,MG
88020,florianopolis,SC
13560,sao carlos,SP
11065,santos,SP
8598,itaquaquecetuba,SP
62170,mucambo,CE
83409,colombo,PR
13504,rio claro,SP
14940,ibitinga,SP
95705,bento goncalves,RS
4041,sao paulo,SP
12080,taubate,SP
81210,curitiba,PR
87050,maringa,PR
86026,londrina,PR
1244,sao paulo,SP
39400,montes claros,MG
82810,curitiba,PR
4613,sao paulo,SP
9694,sao bernardo do campo,SP
11701,praia grande,SP
7152,guarulhos,SP
92310,canoas,RS
82510,curitiba,PR
36570,vicosa,MG
13090,campinas,SP
5201,sao paulo,SP
3126,sao paulo,SP
21041,rio de janeiro,RJ
82130,curitiba,PR
76804,porto velho,RO
40130,salvador,BA
13720,sao jose do rio pardo,SP
32260,contagem,MG
85501,pato branco,PR
36301,sao joao del rei,MG
14091,ribeirao preto,SP
19042,presidente prudente,SP
8743,mogi das cruzes,SP
26600,paracambi,RJ
13312,itu,SP
13930,serra negra,SP
15052,sao jose do rio preto,SP
9541,sao caetano do sul,SP
1420,sao paulo,SP
1239,sao paulo,SP
13418,piracicaba,SP
13820,jaguariuna,SP
4001,sao paulo,SP
17051,bauru,SP
15081,sao jose do rio preto,SP
9550,sao caetano do sul,SP
89256,jaragua do sul,SC
2523,sao paulo,SP
5462,sao paulo,SP
83411,colombo,PR
89069,blumenau,SC
36010,juiz de fora,SP
4154,sao paulo,SP
28660,bom jardim,RJ
58385,serra redonda,PB
14940,ibitinga,SP
82800,curitiba,PR
4133,sao paulo,SP
2851,sao paulo,SP
89240,sao francisco do sul,SC
7052,guarulhos,SP
29104,vila velha,ES
19010,presidente prudente,SP
32672,betim,MG
1303,sao paulo,SP
4676,sao paulo,SP
3910,sao paulo,SP
81200,curitiba,PR
9411,ribeirao pires,SP
81070,curitiba,PR
84430,imbituva,PR
83280,guaratuba,PR
91520,porto alegre,SP
5615,sao paulo,SP
64033,teresina,PI
4164,sao paulo,SP
91360,porto alegre,RS
14406,franca,SP
89900,sao miguel d oeste,SC
18550,boituva,SP
12941,atibaia,SP
12230,sao jose dos campos,SP
18132,sao roque,SP
86820,california,PR
8020,sao paulo,SP
14802,araraquara,SP
7135,guarulhos,SP
17600,tupa,SP
2562,sao paulo,SP
84920,japira,PR
20751,rio de janeiro,RJ
70610,brasilia,DF
9190,santo andre,SP
85851,foz do iguacu,PR
12080,taubate,SP
9780,sao bernardo do campo,SP
13483,limeira,SP
13180,sumare,SP
2215,sao paulo,SP
8583,itaquaquecetuba,SP
28633,nova friburgo,RJ
21862,rio de janeiro,RJ
4438,sao paulo,SP
3521,sao paulo,SP
30120,belo horizonte,MG
37975,itau de minas,MG
3654,sao paulo,SP
36050,juiz de fora,MG
88085,florianopolis,SC
5171,sao paulo,SP
16200,birigui,SP
35540,oliveira,MG
34710,sabara,MG
19865,pedrinhas paulista,SP
9810,sao bernardo do campo,SP
31510,belo horizonte,MG
2515,sao paulo,SP
15500,votuporanga,SP
19025,presidente prudente,SP
13825,holambra,SP
8752,mogi das cruzes,SP
88901,ararangua,SC
83324,pinhais,PR
2117,sao paulo,SP
9540,sao caetano do sul,SP
4361,sao paulo,SP
3306,sao paulo,SP
86047,londrina,PR
4213,sao paulo,SP
14092,ribeirao preto,SP
14026,ribeirao preto,SP
16200,birigui,SP
1254,sao paulo,SP
74435,goiania,GO
1026,sao paulo,SP
26020,nova iguacu,RJ
7140,guarulhos,SP
90560,porto alegre,RS
3307,sao paulo,SP
2804,sao paulo,SP
13480,limeira,SP
22790,rio de janeiro,RJ
85948,pato bragado,PR
99500,carazinho,RS
38680,arinos,MG
13520,sao pedro,SP
88504,lages,SC
4122,sao paulo,SP
9320,maua,SP
1223,sao paulo,SP
13660,porto ferreira,SP
6365,carapicuiba,SP
85640,ampere,PR
35500,divinopolis,MG
30180,belo horizonte,MG
83010,sao jose dos pinhais,PR
1026,sao paulo,SP
35680,itauna,MG
11443,guaruja,SP
3065,sao paulo,SP
88063,florianopolis,SC
3533,sao paulo,SP
91901,porto alegre,RS
13800,mogi mirim,SP
89224,joinville,SC
89520,curitibanos,SC
71906,brasilia df,DF
37410,tres coracoes,MG
5849,sao paulo,SP
60346,fortaleza,CE
1403,sao paulo,SP
2727,sao paulo,SP
12215,sao jose dos campos,SP
8710,mogi das cruses,SP
2565,sao paulo,SP
4256,sao paulo,SP
13088,campinas,SP
13185,hortolandia,SP
4160,sao paulo,SP
30310,belo horizonte,MG
87025,maringa,PR
20771,rio de janeiro,RJ
12940,atibaia,SP
88210,porto belo,SC
85900,toledo,PR
17511,marilia,SP
82940,curitiba,PR
35162,ipatinga,MG
95059,caxias do sul,RS
88790,laguna,SP
13920,pedreira,SP
2407,sao paulo,SP
13041,campinas,SP
12942,atibaia,SP
36071,juiz de fora,MG
1310,sao paulo,SP
36213,dores de campos,MG
5353,sao paulo,SP
2532,sao paulo,SP
9560,sao caetano do sul,SP
13603,araras,SP
37142,divisa nova,MG
5138,sao paulo,SP
7071,guarulhos,SP
9111,santo andre,SP
18040,sorocaba,SP
13085,campinas,SP
17350,igaracu do tiete,SP
13473,americana,SP
88353,brusque,SC
88350,brusque,SC
9510,sao caetano do sul,SP
38412,uberlandia,MG
14750,pitangueiras,SP
30120,belo horizonte,MG
14400,franca,SP
4131,sao paulo,SP
22451,rio de janeiro,RJ
4317,sao paulo,SP
1001,sao paulo,SP
5705,sao paulo,SP
81650,curitiba,PR
7160,guarulhos,SP
18085,sorocaba,SP
81020,curitiba,PR
79090,campo grande,MS
1226,sao paulo,SP
3303,sao paulo,SP
3567,sao paulo,SP
9270,santo andre,SP
17400,garca,SP
19470,presidente epitacio,SP
91510,porto alegre,RS
14940,ibitinga,SP
3613,sao paulo,SP
31255,belo horizonte,MG
14940,ibitinga,SP
74340,goiania,GO
2124,sao paulo,SP
14910,tabatinga,SP
9726,sbc/sp,SP
85904,toledo,PR
81730,curitiba,PR
89211,joinville,SC
5174,sao paulo,SP
45816,arraial d ajuda (porto seguro),BA
13481,limeira,SP
61800,pacatuba,CE
13930,serra negra,SP
4087,sao paulo,SP
23095,rio de janeiro,RJ
73801,formosa,GO
7023,guarulhos,SP
3167,sao paulo,SP
4833,sao paulo,SP
24346,niteroi,RJ
37564,borda da mata,MG
81825,curitiba,PR
11680,ubatuba,SP
85988,entre rios do oeste,PR
13566,sao carlos,SP
37540,sao paulo,SP
15813,catanduva,SP
11013,santos,SP
20751,rio de janeiro,RJ
6768,taboao da serra,SP
3550,sao paulo,SP
35570,formiga,MG
1139,sao paulo,SP
11075,santos,SP
95012,caxias do sul,RS
27930,macae,RJ
42738,lauro de freitas,BA
31230,belo horizonte,MG
13506,rio claro,SP
95900,lajeado,RS
85804,cascavel,PR
14020,ribeirao preto,SP
95800,venancio aires,RS
79107,campo grande,MS
15041,sao jose do rio preto,SP
88370,navegantes,SC
30130,belo horizonte,MG
9633,sao bernardo do campo,SP
6717,cotia,SP
2220,sao paulo,SP
4456,sao paulo,SP
11070,santos,SP
13481,limeira,SP
6513,santana de parnaiba,SP
81050,curitiba,PR
12701,cruzeiro,SP
2372,sao paulo,SP
14940,ibitinga,SP
9920,diadema,SP
5041,sao paulo,SP
87050,maringa,PR
97050,santa maria,RS
71200,brasilia,DF
18047,sorocaba,SP
15085,sao jose do rio preto,SP
15130,mirassol,SP
6033,osasco,SP
36886,muriae,MG
1311,sao paulo,SP
2510,sao paulo,SP
92420,canoas,RS
22745,rio de janeiro,RJ
9810,sao bernardo do campo,SP
15076,sao jose do rio preto,SP
27274,volta redonda,RJ
7170,guarulhos,SP
4144,sao paulo,SP
5319,sao paulo,SP
5315,sao paulo,SP
4827,sao paulo,SP
9230,santo andre,SP
95240,ipe,RS
1230,sao paulo,SP
59775,messias targino,RN
25750,petropolis,RJ
1224,sao paulo,SP
13082,campinas,SP
2751,sao paulo,SP
81540,curitiba,PR
13660,porto ferreira,SP
37004,varginha,MG
31130,belo horizonte,MG
91150,porto alegre,RS
72125,brasilia,DF
14050,ribeirao preto,SP
18608,botucatu,SP
81320,curitiba,PR
8220,sao paulo,SP
29260,domingos martins,ES
13030,campinas,SP
3644,sao paulo,SP
38010,uberaba,MG
19027,presidente prudente,SP
1031,sao paulo,SP
3282,sao paulo,SP
35170,coronel fabriciano,MG
3390,sao paulo,SP
94930,cachoeirinha,RS
5311,sao paulo,SP
14940,ibitinga,SP
3333,sao paulo,SP
9320,maua,SP
24754,sao goncalo,RJ
9820,sao bernardo do campo,SP
15014,sao jose do rio preto,SP
14092,ribeirao preto,SP
19820,taruma,SP
4088,sao paulo,SP
17400,garca,SP
7043,guarulhos,SP
38414,uberlandia,MG
13481,limeira,SP
4160,sao paulo,SP
4693,sao paulo,SP
3060,sao paulo,SP
13632,pirassununga,SP
2116,sao paulo,SP
8280,sao paulo,SP
18015,sorocaba,SP
18015,sorocaba,SP
4567,sao paulo,SP
31844,belo horizonte,MG
14020,ribeirao preto,SP
13030,campinas,SP
7402,aruja,SP
2035,sao paulo,SP
74223,goiania,GO
13575,sao carlos,SP
1156,sao paulo,SP
3363,sp / sp,SP
85802,cascavel,PR
2258,sao paulo,SP
30310,belo horizonte,MG
23954,angra dos reis,RJ
23050,rio de janeiro,RJ
87015,maringa,PR
8673,suzano,SP
9850,sao bernardo do campo,SP
63020,juzeiro do norte,CE
3370,sao paulo,SP
35501,divinopolis,MG
89170,laurentino,SC
6717,cotia,SP
3372,sao paulo,SP
1319,sao paulo,SP
95270,flores da cunha,RS
88780,imbituba,SC
89256,jaragua do sul,SC
86035,londrina,PR
95780,montenegro,RS
20051,rio de janeiro,RJ
3382,sao paulo,SP
81200,curitiba,PR
3673,sao paulo,SP
86802,apucarana,PR
2189,sao paulo,SP
3077,sao paulo,SP
6036,osasco,SP
5030,sao paulo,SP
5634,sao paulo,SP
41820,salvador,BA
6753,taboao da serra,SP
3059,sao paulo,SP
13660,porto ferreira,SP
14470,pedregulho,SP
9210,santo andre,SP
93542,novo hamburgo,RS
30111,belo horizonte,MG
13930,serra negra,SP
83015,sao jose dos pinhais,PR
8730,mogi das cruzes,SP
95560,torres,RS
49055,aracaju,SE
13484,limeira,SP
88316,itajai,SC
88135,santa catarina,SC
81930,curitiba,PR
95076,caxias do sul,RS
8111,sao paulo,SP
89254,jaragua do sul,SC
3331,sao paulo,SP
80060,curitiba,PR
38770,joao pinheiro,MG
9271,santo andre,SP
86706,arapongas,PR
15115,bady bassitt,SP
89053,blumenau,SC
3632,sao paulo,SP
78552,sinop,MT
3804,sao paulo,SP
13330,indaiatuba,SP
17510,marilia,SP
85065,guarapuava,PR
83707,araucaria,PR
92030,canoas,RS
18683,lencois paulista,SP
95110,caxias do sul,RS
36015,juiz de fora,MG
12020,taubate,SP
2992,sao paulo,SP
88115,sao jose,SC
29090,vitoria,ES
3225,sao paulo,SP
7013,guarulhos,SP
14300,batatais,SP
95082,caxias do sul,RS
33400,lagoa santa,MG
9911,sao paulo,SP
4711,sao paulo,SP
89801,chapeco,SC
85801,cascavel,PR
40285,salvador,BA
20520,rio de janeiro,RJ
11701,praia grande,SP
80710,curitiba,PR
5051,sao paulo,SP
8840,mogi das cruzes,SP
87502,umuarama,PR
83709,araucaria,PR
9690,sao bernardo do campo,SP
8225,sao paulo,SP
31110,belo horizonte,MG
6460,barueri,SP
9220,santo andre,SP
4602,sao paulo,SP
88359,brusque,SC
4781,sao paulo,SP
95055,caxias do sul,SP
87083,maringa,PR
18040,sorocaba,SP
3244,sao paulo,SP
16200,birigui,SP
5782,sao paulo,SP
26112,belford roxo,RJ
29156,cariacica,ES
13272,valinhos,SP
13101,campinas,SP
13043,campinas,SP
4111,sao paulo,SP
13820,monte alegre do sul,SP
3087,sao paulo,SP
9370,maua,SP
12903,sau paulo,SP
35590,lagoa da prata,MG
95690,rolante,RS
4216,sao paulo,SP
4119,sao paulo,SP
2755,sao paulo,SP
3057,sao paulo,SP
9570,sao caetano do sul,SP
9070,santo andre,SP
25963,teresopolis,RJ
13604,araras,SP
18480,itaporanga,SP
13330,indaiatuba,SP
9810,sao bernardo do campo,SP
9010,santo andre,SP
37564,borda da mata,MG
13015,campinas,SP
3513,sao paulo,SP
7113,guarulhos,SP
14406,franca,SP
18680,lencois paulista,SP
4308,sao paulo,SP
14940,ibitinga,SP
89218,joinville,SC
81350,curitiba,PR
1209,sao paulo,SP
6290,osasco,SP
11704,praia grande,SP
7122,guarulhos,SP
22785,rio de janeiro,RJ
7094,guarulhos,SP
9895,sao bernardo do campo,SP
8215,sao paulo,SP
13561,sao carlos,SP
5319,sao paulo,SP
30710,belo horizonte,MG
86707,arapongas,PR
83605,campo largo,PR
18131,sao roque,SP
14804,araraquara,SP
2274,sao paulo,SP
25550,sao joao de meriti,RJ
9380,maua,SP
6501,santana de parnaiba,SP
4880,sao paulo,SP
12955,bom jesus dos perdoes,SP
3449,sao paulo,SP
